"AccessionNumber","Length","CreateDate","Source","Category","Family"
"DQ486030","126629","14-MAY-2006","Antheraea pernyi nucleopolyhedrovirus (AnpeNPV)","alpha, gamma and delta","Baculoviridae"
"NC_007921","147544","27-MAR-2006","Agrotis segetum nucleopolyhedrovirus A","alpha, gamma and delta","Baculoviridae"
"DQ123841","147544","03-MAR-2006","Agrotis segetum nucleopolyhedrovirus A","alpha, gamma and delta","Baculoviridae"
"NC_007767","132959","02-FEB-2006","Hyphantria cunea nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"AP009046","132959","31-JAN-2006","Hyphantria cunea nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"DQ288858","124121","07-DEC-2005","Spodoptera litura granulovirus","beta","Baculoviridae"
"NC_007383","134394","07-SEP-2005","Trichoplusia ni single nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"DQ017380","134394","31-JUL-2005","Trichoplusia ni single nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_007151","149622","29-JUN-2005","Chrysodeixis chalcites nucleopolyhedrovirus (ChchNPV)","alpha, gamma and delta","Baculoviridae"
"AY864330","149622","25-JUN-2005","Chrysodeixis chalcites nucleopolyhedrovirus (ChchNPV)","alpha, gamma and delta","Baculoviridae"
"NC_005905","86462","17-JUN-2004","Neodiprion sertifer nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_005906","81755","17-JUN-2004","Neodiprion lecontei nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"AY349019","81755","15-JUN-2004","Neodiprion lecontei nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"AY430810","86462","14-JUN-2004","Neodiprion sertifer nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"AY522332","131680","05-MAR-2004","Agrotis segetum granulovirus","beta","Baculoviridae"
"CQ774045","131616","04-MAR-2004","Agrotis segetum granulovirus","beta","Baculoviridae"
"NC_005137","131160","11-OCT-2003","Choristoneura fumiferana DEF multiple nucleopolyhedrovirus (CfDEFNPV)","alpha, gamma and delta","Baculoviridae"
"AY327402","131160","08-OCT-2003","Choristoneura fumiferana DEF multiple nucleopolyhedrovirus (CfDEFNPV)","alpha, gamma and delta","Baculoviridae"
"AF539999","153656","23-SEP-2003","Mamestra configurata nucleopolyhedrovirus A","alpha, gamma and delta","Baculoviridae"
"NC_005068","110907","13-AUG-2003","Cryptophlebia leucotreta granulovirus","beta","Baculoviridae"
"AY229987","110907","11-AUG-2003","Cryptophlebia leucotreta granulovirus","beta","Baculoviridae"
"NC_005038","99657","15-JUL-2003","Adoxophyes orana granulovirus","beta","Baculoviridae"
"AF547984","99657","11-JUL-2003","Adoxophyes orana granulovirus","beta","Baculoviridae"
"NC_004778","129593","06-MAY-2003","Choristoneura fumiferana multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"AF512031","129593","01-MAY-2003","Choristoneura fumiferana multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_004690","113220","05-APR-2003","Adoxophyes honmai nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"AP006270","113220","02-APR-2003","Adoxophyes honmai nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"AY145471","131526","02-OCT-2002","Rachiplusia ou multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_004323","131526","02-OCT-2002","Rachiplusia ou multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"AY126275","158482","25-AUG-2002","Mamestra configurata nucleopolyhedrovirus B","alpha, gamma and delta","Baculoviridae"
"NC_004117","158482","25-AUG-2002","Mamestra configurata nucleopolyhedrovirus B","alpha, gamma and delta","Baculoviridae"
"AF499596","119217","01-JUL-2002","Phthorimaea operculella granulovirus","beta","Baculoviridae"
"NC_004062","119217","01-JUL-2002","Phthorimaea operculella granulovirus","beta","Baculoviridae"
"AF334030","130869","01-JAN-2002","Helicoverpa zea single nucleopolyhedrovirus (HzSNPV)","alpha, gamma and delta","Baculoviridae"
"AF325155","139342","11-SEP-2001","Spodoptera litura nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_003102","139342","11-SEP-2001","Spodoptera litura nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"AF303045","130759","31-AUG-2001","Helicoverpa armigera nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_003094","130759","31-AUG-2001","Helicoverpa armigera nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"AF403738","108252","22-AUG-2001","Culex nigripalpus nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_003084","108252","22-AUG-2001","Culex nigripalpus nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"AY043265","118584","19-AUG-2001","Epiphyas postvittana nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_003083","118584","19-AUG-2001","Epiphyas postvittana nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_002816","123500","02-APR-2001","Cydia pomonella granulovirus","beta","Baculoviridae"
"U53466","123500","02-APR-2001","Cydia pomonella granulovirus","beta","Baculoviridae"
"AF271059","131405","25-JAN-2001","Helicoverpa armigera nucleopolyhedrovirus G4","alpha, gamma and delta","Baculoviridae"
"NC_002654","131405","25-JAN-2001","Helicoverpa armigera nucleopolyhedrovirus G4","alpha, gamma and delta","Baculoviridae"
"AF270937","100999","29-OCT-2000","Plutella xylostella granulovirus","beta","Baculoviridae"
"NC_002593","100999","29-OCT-2000","Plutella xylostella granulovirus","beta","Baculoviridae"
"NC_002331","178733","07-JUN-2000","Xestia c-nigrum granulovirus","beta","Baculoviridae"
"AF169823","135611","29-DEC-1999","Spodoptera exigua multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_002169","135611","29-DEC-1999","Spodoptera exigua multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"AF162221","178733","02-NOV-1999","Xestia c-nigrum granulovirus","beta","Baculoviridae"
"AF081810","161046","03-NOV-1998","Lymantria dispar multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_001973","161046","03-NOV-1998","Lymantria dispar multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_003529","155060","29-MAR-1997","Mamestra configurata nucleopolyhedrovirus A","alpha, gamma and delta","Baculoviridae"
"MBU59461","155060","29-MAR-1997","Mamestra configurata nucleopolyhedrovirus A","alpha, gamma and delta","Baculoviridae"
"NC_001875","131995","27-MAR-1997","Orgyia pseudotsugata multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"OPU75930","131995","27-MAR-1997","Orgyia pseudotsugata multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NPHT3COMP","128413","18-JAN-1996","Bombyx mori nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_001962","128413","18-JAN-1996","Bombyx mori nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"L22858","133894","16-JUL-1994","Autographa californica nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_001623","133894","16-JUL-1994","Autographa californica nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KU050077","190291","03-FEB-2016","Glossina pallidipes salivary gland hypertrophy virus (GpSGHVEth)",NA,"Hytrosaviridae"
"EF568108","190032","21-FEB-2008","Glossina pallidipes salivary gland hypertrophy virus",NA,"Hytrosaviridae"
"NC_010356","190032","25-FEB-2008","Glossina pallidipes salivary gland hypertrophy virus",NA,"Hytrosaviridae"
"ON052824","129342","18-JAN-2023","Drosophila suzukii associated hytrosavirus 1",NA,"Hytrosaviridae"
"EU522111","124279","05-MAY-2008","Musca domestica salivary gland hypertrophy virus",NA,"Hytrosaviridae"
"NC_010671","124279","09-MAY-2008","Musca domestica salivary gland hypertrophy virus",NA,"Hytrosaviridae"
"LC738883","416069","10-NOV-2022","Armadillidium vulgare clopovirus (crustacean metagenome)",NA,"Nimaviridae"
"LC738878","401182","10-NOV-2022","Metapenaeus joyneri majanivirus (crustacean metagenome)",NA,"Nimaviridae"
"LC738871","360489","10-NOV-2022","Penaeus monodon majanivirus B (crustacean metagenome)",NA,"Nimaviridae"
"LC738875","359647","10-NOV-2022","Melicertus latisulcatus pemonivirus (crustacean metagenome)",NA,"Nimaviridae"
"LC738881","347493","10-NOV-2022","Sicyonia whispovirus (crustacean metagenome)",NA,"Nimaviridae"
"LC738877","341283","10-NOV-2022","Metapenaeus ensis nimavirus (crustacean metagenome)",NA,"Nimaviridae"
"LC738880","331684","10-NOV-2022","Trachysalambria curvirostris nimavirus (crustacean metagenome)",NA,"Nimaviridae"
"AP027202","323944","14-JAN-2023","Marsupenaeus japonicus pemonivirus (crustacean metagenome)",NA,"Nimaviridae"
"AP027280","311562","11-FEB-2023","White spot syndrome virus (crustacean metagenome)",NA,"Nimaviridae"
"KT995472","309286","18-NOV-2015","White spot syndrome virus",NA,"Nimaviridae"
"NC_003225","309286","20-NOV-2001","White spot syndrome virus",NA,"Nimaviridae"
"PP134839","309286","30-JAN-2024","White spot syndrome virus",NA,"Nimaviridae"
"PP134840","309286","30-JAN-2024","White spot syndrome virus",NA,"Nimaviridae"
"PP134841","309286","30-JAN-2024","White spot syndrome virus",NA,"Nimaviridae"
"PP134842","309286","30-JAN-2024","White spot syndrome virus",NA,"Nimaviridae"
"AF440570","307287","15-MAR-2002","Shrimp white spot syndrome virus",NA,"Nimaviridae"
"LC738868","306008","10-NOV-2022","Marsupenaeus japonicus endogenous nimavirus (crustacean metagenome)",NA,"Nimaviridae"
"AF332093","305119","20-NOV-2001","Shrimp white spot syndrome virus (white spot bacilliform virus)",NA,"Nimaviridae"
"NC_075105","305119","04-MAY-2023","Shrimp white spot syndrome virus (white spot bacilliform virus)",NA,"Nimaviridae"
"AX151396","305107","22-JUN-2001","Shrimp white spot syndrome virus",NA,"Nimaviridae"
"MN840357","305094","13-JAN-2020","White spot syndrome virus",NA,"Nimaviridae"
"AP027281","301236","11-FEB-2023","White spot syndrome virus (crustacean metagenome)",NA,"Nimaviridae"
"AP027282","301054","11-FEB-2023","White spot syndrome virus (crustacean metagenome)",NA,"Nimaviridae"
"KX686117","300223","11-APR-2018","White spot syndrome virus",NA,"Nimaviridae"
"KU216744","300087","24-JAN-2016","White spot syndrome virus",NA,"Nimaviridae"
"LC738869","300002","10-NOV-2022","Penaeus monodon endogenous nimavirus (crustacean metagenome)",NA,"Nimaviridae"
"AP027278","299976","11-FEB-2023","White spot syndrome virus (crustacean metagenome)",NA,"Nimaviridae"
"AP027284","298496","11-FEB-2023","White spot syndrome virus (crustacean metagenome)",NA,"Nimaviridae"
"JX515788","295884","20-NOV-2012","White spot syndrome virus",NA,"Nimaviridae"
"AP027283","295104","11-FEB-2023","White spot syndrome virus (crustacean metagenome)",NA,"Nimaviridae"
"KT995470","294261","18-NOV-2015","White spot syndrome virus",NA,"Nimaviridae"
"LC738870","294144","10-NOV-2022","Penaeus monodon majanivirus A (crustacean metagenome)",NA,"Nimaviridae"
"AP027279","293923","11-FEB-2023","White spot syndrome virus (crustacean metagenome)",NA,"Nimaviridae"
"OQ657458","293023","22-FEB-2024","White spot syndrome virus",NA,"Nimaviridae"
"AF369029","292967","26-JUL-2001","White spot syndrome virus",NA,"Nimaviridae"
"MF784752","292912","08-JAN-2018","White spot syndrome virus",NA,"Nimaviridae"
"LC738876","292272","10-NOV-2022","Metapenaeus ensis majanivirus (crustacean metagenome)",NA,"Nimaviridae"
"ON457602","292172","13-FEB-2023","White spot syndrome virus",NA,"Nimaviridae"
"LC738873","291934","10-NOV-2022","Penaeus semisulcatus majanivirus (crustacean metagenome)",NA,"Nimaviridae"
"MG432477","290879","10-JUN-2018","Shrimp white spot syndrome virus",NA,"Nimaviridae"
"MG432475","289870","10-JUN-2018","Shrimp white spot syndrome virus",NA,"Nimaviridae"
"AP027286","289353","11-FEB-2023","White spot syndrome virus (crustacean metagenome)",NA,"Nimaviridae"
"AP027287","289352","11-FEB-2023","White spot syndrome virus (crustacean metagenome)",NA,"Nimaviridae"
"AP027285","289287","11-FEB-2023","White spot syndrome virus (crustacean metagenome)",NA,"Nimaviridae"
"MH090824","288997","29-MAY-2018","White spot syndrome virus",NA,"Nimaviridae"
"AP027289","288494","11-FEB-2023","White spot syndrome virus (crustacean metagenome)",NA,"Nimaviridae"
"AP027288","288252","11-FEB-2023","White spot syndrome virus (crustacean metagenome)",NA,"Nimaviridae"
"PP128491","288229","24-JAN-2024","White spot syndrome virus",NA,"Nimaviridae"
"PP128489","288217","24-JAN-2024","White spot syndrome virus",NA,"Nimaviridae"
"AP027290","288190","11-FEB-2023","White spot syndrome virus (crustacean metagenome)",NA,"Nimaviridae"
"MH663976","287179","30-AUG-2019","Procambarus clarkii virus",NA,"Nimaviridae"
"LC738874","287061","10-NOV-2022","Melicertus latisulcatus majanivirus (crustacean metagenome)",NA,"Nimaviridae"
"OQ858617","285974","25-OCT-2023","White spot syndrome virus",NA,"Nimaviridae"
"MF768985","285973","13-NOV-2017","White spot syndrome virus",NA,"Nimaviridae"
"MW248106","285601","31-MAY-2021","White spot syndrome virus (shrimp metagenome)",NA,"Nimaviridae"
"AP027155","285096","12-JAN-2023","Chiromantes dehaani nimavirus (crustacean metagenome)",NA,"Nimaviridae"
"KT995471","284148","18-NOV-2015","White spot syndrome virus",NA,"Nimaviridae"
"MG432479","283858","10-JUN-2018","Shrimp white spot syndrome virus",NA,"Nimaviridae"
"LC738879","283150","10-NOV-2022","Trachysalambria curvirostris majanivirus (crustacean metagenome)",NA,"Nimaviridae"
"MW248107","281813","31-MAY-2021","White spot syndrome virus (shrimp metagenome)",NA,"Nimaviridae"
"MW248108","281160","31-MAY-2021","White spot syndrome virus (shrimp metagenome)",NA,"Nimaviridae"
"KY827813","281054","19-JUN-2017","White spot syndrome virus",NA,"Nimaviridae"
"MG702567","280591","16-JAN-2018","White spot syndrome virus",NA,"Nimaviridae"
"LC738872","280452","10-NOV-2022","Litopenaeus vannamei majanivirus Nimav-1_LVa (crustacean metagenome)",NA,"Nimaviridae"
"PP128490","279886","24-JAN-2024","White spot syndrome virus",NA,"Nimaviridae"
"OM350393","278607","02-APR-2022","White spot syndrome virus",NA,"Nimaviridae"
"MG432481","278223","10-JUN-2018","Shrimp white spot syndrome virus",NA,"Nimaviridae"
"AP027152","277334","12-JAN-2023","Penaeus semisulcatus pemonivirus (crustacean metagenome)",NA,"Nimaviridae"
"MG432476","277297","10-JUN-2018","Shrimp white spot syndrome virus",NA,"Nimaviridae"
"PP057889","277275","07-JAN-2024","White spot syndrome virus",NA,"Nimaviridae"
"MH883319","276835","21-NOV-2018","White spot syndrome virus",NA,"Nimaviridae"
"LC738885","276272","10-NOV-2022","Pasiphaea japonica whispovirus (crustacean metagenome)",NA,"Nimaviridae"
"OR636681","273795","03-DEC-2023","White spot syndrome virus",NA,"Nimaviridae"
"MG432478","272607","10-JUN-2018","Shrimp white spot syndrome virus",NA,"Nimaviridae"
"MH883318","270609","21-NOV-2018","White spot syndrome virus",NA,"Nimaviridae"
"MG432480","270274","10-JUN-2018","Shrimp white spot syndrome virus",NA,"Nimaviridae"
"AP027153","267951","12-JAN-2023","Metapenaeopsis lamellata majanivirus (crustacean metagenome)",NA,"Nimaviridae"
"LC738884","267936","10-NOV-2022","Sesarmops intermedium nimavirus (crustacean metagenome)",NA,"Nimaviridae"
"MG432474","263174","10-JUN-2018","Shrimp white spot syndrome virus",NA,"Nimaviridae"
"MG432482","257675","10-JUN-2018","Shrimp white spot syndrome virus",NA,"Nimaviridae"
"LC738882","251731","10-NOV-2022","Hemigrapsus takanoi nimavirus (crustacean metagenome)",NA,"Nimaviridae"
"LC741431","243979","09-DEC-2022","Chionoecetes opilio bacilliform virus",NA,"Nimaviridae"
"PP057925","221305","07-JAN-2024","White spot syndrome virus",NA,"Nimaviridae"
"BFCD01000001","217415","26-OCT-2018","Marsupenaeus japonicus endogenous nimavirus",NA,"Nimaviridae"
"PP057911","156552","07-JAN-2024","White spot syndrome virus",NA,"Nimaviridae"
"BFCF01000001","150120","26-OCT-2018","Penaeus monodon endogenous nimavirus",NA,"Nimaviridae"
